span_m,v_flow_ms,time_yr,max_FI,safety_factor,failure_mode,max_defl_mm,defl_span_ratio,q_total_N_m,deg_factor
2.5,6.0,10,0.086405,11.57,shear,23.0999,0.00924,236.8741,0.5488
2.5,6.5,0,0.154921,6.45,shear,36.7836,0.014713,2824.7566,1.0
2.5,6.5,2,0.046905,21.32,shear,19.5805,0.007832,1055.5837,0.8869
2.5,6.5,5,0.022591,44.27,shear,12.8843,0.005154,361.9603,0.7408
2.5,6.5,8,0.044696,22.37,shear,17.1937,0.006877,267.7737,0.6188
2.5,6.5,10,0.099619,10.04,shear,24.799,0.00992,251.6767,0.5488
2.5,7.0,0,0.199198,5.02,shear,41.7128,0.016685,3226.8428,1.0
2.5,7.0,2,0.059493,16.81,shear,22.056,0.008822,1206.4995,0.8869
2.5,7.0,5,0.026766,37.36,shear,14.0263,0.005611,397.4455,0.7408
2.5,7.0,8,0.051468,19.43,shear,18.4491,0.00738,286.1906,0.6188
2.5,7.0,10,0.11423,8.75,shear,26.5523,0.010621,267.6636,0.5488
2.5,7.5,0,0.252655,3.96,shear,46.9804,0.018792,3658.7132,1.0
2.5,7.5,2,0.074508,13.42,shear,24.687,0.009875,1368.5942,0.8869
2.5,7.5,5,0.031507,31.74,shear,15.2201,0.006088,435.5593,0.7408
2.5,7.5,8,0.058963,16.96,shear,19.7465,0.007899,305.9717,0.6188
2.5,7.5,10,0.130328,7.67,shear,28.3598,0.011344,284.8346,0.5488
2.5,8.0,0,0.316516,3.16,shear,52.5864,0.021035,4120.3678,1.0
2.5,8.0,2,0.092248,10.84,shear,27.4735,0.010989,1541.8679,0.8869
2.5,8.0,5,0.036864,27.13,shear,16.4658,0.006586,476.3016,0.7408
2.5,8.0,8,0.067231,14.87,shear,21.086,0.008434,327.1171,0.6188
2.5,8.0,10,0.148006,6.76,shear,30.2215,0.012089,303.1899,0.5488
3.0,0.5,0,0.002939,340.2,shear,8.2306,0.002744,322.8867,1.0
3.0,0.5,2,0.000737,1356.61,shear,4.0122,0.001337,116.5521,0.8869
3.0,0.5,5,0.002134,468.53,shear,6.5412,0.00218,141.1632,0.7408
3.0,0.5,8,0.006552,152.63,shear,10.973,0.003658,153.1795,0.6188
3.0,0.5,10,0.015155,65.98,shear,16.2041,0.005401,152.2031,0.5488
3.0,1.0,0,0.004277,233.81,bending,9.9064,0.003302,367.5629,1.0
3.0,1.0,2,0.001262,792.58,bending,5.1473,0.001716,133.3205,0.8869
3.0,1.0,5,0.002781,359.53,shear,7.4654,0.002488,145.106,0.7408
3.0,1.0,8,0.008237,121.41,shear,12.2927,0.004098,155.2258,0.6188
3.0,1.0,10,0.019038,52.53,shear,18.1383,0.006046,153.9794,0.5488
3.0,1.5,0,0.006676,149.79,bending,12.2839,0.004095,442.0233,1.0
3.0,1.5,2,0.002136,468.15,bending,6.6048,0.002202,161.2679,0.8869
3.0,1.5,5,0.003605,277.37,shear,8.4971,0.002832,151.6773,0.7408
3.0,1.5,8,0.010246,97.6,shear,13.6994,0.004566,158.6364,0.6188
3.0,1.5,10,0.023629,42.32,shear,20.1849,0.006728,156.9399,0.5488
3.0,2.0,0,0.010503,95.21,bending,15.3631,0.005121,546.2679,1.0
3.0,2.0,2,0.003476,287.66,bending,8.3846,0.002795,200.3942,0.8869
3.0,2.0,5,0.004727,211.56,bending,9.6365,0.003212,160.8772,0.7408
3.0,2.0,8,0.012618,79.25,shear,15.1933,0.005064,163.4111,0.6188
3.0,2.0,10,0.029007,34.47,shear,22.3438,0.007448,161.0846,0.5488
3.0,2.5,0,0.016314,61.3,bending,19.1441,0.006381,680.2967,1.0
3.0,2.5,2,0.005437,183.91,bending,10.4867,0.003496,250.6995,0.8869
3.0,2.5,5,0.006178,161.87,bending,10.8834,0.003628,172.7056,0.7408
3.0,2.5,8,0.015398,64.94,shear,16.7744,0.005591,169.5501,0.6188
3.0,2.5,10,0.035257,28.36,shear,24.6151,0.008205,166.4136,0.5488
3.0,3.0,0,0.024784,40.35,bending,23.6268,0.007876,844.1096,1.0
3.0,3.0,2,0.008199,121.96,bending,12.9112,0.004304,312.1837,0.8869
3.0,3.0,5,0.007946,125.85,bending,12.238,0.004079,187.1626,0.7408
3.0,3.0,8,0.018794,53.21,bending,18.4425,0.006148,177.0533,0.6188
3.0,3.0,10,0.042469,23.55,shear,26.9987,0.009,172.9267,0.5488
3.0,3.5,0,0.036708,27.24,bending,28.8113,0.009604,1037.7067,1.0
3.0,3.5,2,0.011968,83.55,bending,15.6579,0.005219,384.8468,0.8869
3.0,3.5,5,0.010074,99.27,bending,13.7001,0.004567,204.2481,0.7408
3.0,3.5,8,0.022996,43.49,bending,20.1979,0.006733,185.9207,0.6188
3.0,3.5,10,0.050735,19.71,shear,29.4946,0.009832,180.6241,0.5488
3.0,4.0,0,0.053004,18.87,bending,34.6975,0.011566,1261.0879,1.0
3.0,4.0,2,0.016975,58.91,bending,18.727,0.006242,468.689,0.8869
3.0,4.0,5,0.012606,79.33,bending,15.2698,0.00509,223.9621,0.7408
3.0,4.0,8,0.02781,35.96,bending,22.0403,0.007347,196.1523,0.6188
3.0,4.0,10,0.060853,16.43,bending,32.1029,0.010701,189.5057,0.5488
3.0,4.5,0,0.074708,13.39,bending,41.2854,0.013762,1514.2533,1.0
3.0,4.5,2,0.023478,42.59,bending,22.1184,0.007373,563.71,0.8869
3.0,4.5,5,0.01559,64.14,bending,16.9472,0.005649,246.3047,0.7408
3.0,4.5,8,0.033285,30.04,bending,23.9699,0.00799,207.7482,0.6188
3.0,4.5,10,0.072587,13.78,bending,34.8235,0.011608,199.5715,0.5488
3.0,5.0,0,0.102978,9.71,bending,48.5751,0.016192,1797.2029,1.0
3.0,5.0,2,0.031758,31.49,bending,25.8321,0.008611,669.91,0.8869
3.0,5.0,5,0.019077,52.42,bending,18.7321,0.006244,271.2757,0.7408
3.0,5.0,8,0.03947,25.34,bending,25.9866,0.008662,220.7082,0.6188
3.0,5.0,10,0.085775,11.66,bending,37.6564,0.012552,210.8215,0.5488
3.0,5.5,0,0.13909,7.19,bending,56.5665,0.018856,2109.9366,1.0
3.0,5.5,2,0.042124,23.74,bending,29.8681,0.009956,787.289,0.8869
3.0,5.5,5,0.02312,43.25,bending,20.6246,0.006875,298.8754,0.7408
3.0,5.5,8,0.046418,21.54,bending,28.0905,0.009363,235.0325,0.6188
3.0,5.5,10,0.100512,9.95,bending,40.6017,0.013534,223.2557,0.5488
3.0,6.0,0,0.184621,5.42,shear,65.2597,0.021753,2452.4545,1.0
3.0,6.0,2,0.054909,18.21,bending,34.2264,0.011409,915.8468,0.8869
3.0,6.0,5,0.027775,36.0,bending,22.6248,0.007542,329.1035,0.7408
3.0,6.0,8,0.054183,18.46,bending,30.2815,0.010094,250.721,0.6188
3.0,6.0,10,0.1169,8.55,bending,43.6593,0.014553,236.8741,0.5488
3.0,6.5,0,0.241638,4.14,shear,74.6547,0.024885,2824.7566,1.0
3.0,6.5,2,0.070473,14.19,bending,38.9071,0.012969,1055.5837,0.8869
3.0,6.5,5,0.033103,30.21,bending,24.7325,0.008244,361.9603,0.7408
3.0,6.5,8,0.062821,15.92,bending,32.5596,0.010853,267.7737,0.6188
3.0,6.5,10,0.135041,7.41,bending,46.8292,0.01561,251.6767,0.5488
3.0,7.0,0,0.31146,3.21,shear,84.7513,0.02825,3226.8428,1.0
3.0,7.0,2,0.0892,11.21,bending,43.9101,0.014637,1206.4995,0.8869
3.0,7.0,5,0.039164,25.53,bending,26.9478,0.008983,397.4455,0.7408
3.0,7.0,8,0.072389,13.81,bending,34.9249,0.011642,286.1906,0.6188
3.0,7.0,10,0.155042,6.45,bending,50.1115,0.016704,267.6636,0.5488
3.0,7.5,0,0.395932,2.53,shear,95.5497,0.03185,3658.7132,1.0
3.0,7.5,2,0.1115,8.97,bending,49.2353,0.016412,1368.5942,0.8869
3.0,7.5,5,0.046024,21.73,bending,29.2708,0.009757,435.5593,0.7408
3.0,7.5,8,0.082948,12.06,bending,37.3773,0.012459,305.9717,0.6188
3.0,7.5,10,0.177012,5.65,bending,53.5061,0.017835,284.8346,0.5488
3.0,8.0,0,0.497031,2.01,shear,107.0499,0.035683,4120.3678,1.0
3.0,8.0,2,0.137892,7.25,shear,54.883,0.018294,1541.8679,0.8869
3.0,8.0,5,0.053752,18.6,bending,31.7013,0.010567,476.3016,0.7408
3.0,8.0,8,0.094559,10.58,bending,39.9169,0.013306,327.1171,0.6188
3.0,8.0,10,0.201065,4.97,bending,57.0131,0.019004,303.1899,0.5488
3.5,0.5,0,0.005058,197.69,bending,15.0835,0.00431,322.8867,1.0
3.5,0.5,2,0.001224,816.78,bending,7.2606,0.002074,116.5521,0.8869
3.5,0.5,5,0.003268,306.04,bending,11.9166,0.003405,141.1632,0.7408
3.5,0.5,8,0.009587,104.31,shear,20.0143,0.005718,153.1795,0.6188
3.5,0.5,10,0.022046,45.36,shear,29.5528,0.008444,152.2031,0.5488
3.5,1.0,0,0.007371,135.67,bending,18.023,0.005149,367.5629,1.0
3.5,1.0,2,0.002048,488.34,bending,9.191,0.002626,133.3205,0.8869
3.5,1.0,5,0.004329,231.0,bending,13.4267,0.003836,145.106,0.7408
3.5,1.0,8,0.011888,84.12,bending,22.1442,0.006327,155.2258,0.6188
3.5,1.0,10,0.026928,37.14,shear,32.6687,0.009334,153.9794,0.5488
3.5,1.5,0,0.011372,87.93,bending,22.2626,0.006361,442.0233,1.0
3.5,1.5,2,0.003401,294.05,bending,11.7186,0.003348,161.2679,0.8869
3.5,1.5,5,0.005691,175.72,bending,15.1362,0.004325,151.6773,0.7408
3.5,1.5,8,0.015025,66.56,bending,24.4356,0.006982,158.6364,0.6188
3.5,1.5,10,0.033055,30.25,bending,35.9926,0.010284,156.9399,0.5488
3.5,2.0,0,0.017813,56.14,bending,27.8023,0.007944,546.2679,1.0
3.5,2.0,2,0.005498,181.89,bending,14.8434,0.004241,200.3942,0.8869
3.5,2.0,5,0.007405,135.04,bending,17.045,0.00487,160.8772,0.7408
3.5,2.0,8,0.01876,53.3,bending,26.8884,0.007682,163.4111,0.6188
3.5,2.0,10,0.041197,24.27,bending,39.5247,0.011293,161.0846,0.5488
3.5,2.5,0,0.027662,36.15,bending,34.6421,0.009898,680.2967,1.0
3.5,2.5,2,0.0086,116.28,bending,18.5653,0.005304,250.6995,0.8869
3.5,2.5,5,0.009529,104.94,bending,19.1531,0.005472,172.7056,0.7408
3.5,2.5,8,0.023157,43.18,bending,29.5026,0.008429,169.5501,0.6188
3.5,2.5,10,0.050718,19.72,bending,43.2649,0.012361,166.4136,0.5488
3.5,3.0,0,0.042107,23.75,bending,42.782,0.012223,844.1096,1.0
3.5,3.0,2,0.013014,76.84,bending,22.8843,0.006538,312.1837,0.8869
3.5,3.0,5,0.012126,82.46,bending,21.4606,0.006132,187.1626,0.7408
3.5,3.0,8,0.028283,35.36,bending,32.2783,0.009222,177.0533,0.6188
3.5,3.0,10,0.061743,16.2,bending,47.2132,0.013489,172.9267,0.5488
3.5,3.5,0,0.062555,15.99,bending,52.222,0.014921,1037.7067,1.0
3.5,3.5,2,0.019094,52.37,bending,27.8005,0.007943,384.8468,0.8869
3.5,3.5,5,0.015264,65.51,bending,23.9674,0.006848,204.2481,0.7408
3.5,3.5,8,0.034206,29.23,bending,35.2154,0.010062,185.9207,0.6188
3.5,3.5,10,0.074402,13.44,bending,51.3696,0.014677,180.6241,0.5488
3.5,4.0,0,0.090633,11.03,bending,62.962,0.017989,1261.0879,1.0
3.5,4.0,2,0.027241,36.71,bending,33.3138,0.009518,468.689,0.8869
3.5,4.0,5,0.019015,52.59,bending,26.6736,0.007621,223.9621,0.7408
3.5,4.0,8,0.040999,24.39,bending,38.3139,0.010947,196.1523,0.6188
3.5,4.0,10,0.088831,11.26,bending,55.7342,0.015924,189.5057,0.5488
3.5,4.5,0,0.128185,7.8,bending,75.0021,0.021429,1514.2533,1.0
3.5,4.5,2,0.0379,26.39,bending,39.4242,0.011264,563.71,0.8869
3.5,4.5,5,0.023459,42.63,bending,29.5791,0.008451,246.3047,0.7408
3.5,4.5,8,0.04874,20.52,bending,41.5739,0.011878,207.7482,0.6188
3.5,4.5,10,0.105171,9.51,bending,60.3068,0.017231,199.5715,0.5488
3.5,5.0,0,0.177277,5.64,bending,88.3423,0.025241,1797.2029,1.0
3.5,5.0,2,0.051565,19.39,bending,46.1318,0.013181,669.91,0.8869
3.5,5.0,5,0.028678,34.87,bending,32.6839,0.009338,271.2757,0.7408
3.5,5.0,8,0.057509,17.39,bending,44.9953,0.012856,220.7082,0.6188
3.5,5.0,10,0.123571,8.09,bending,65.0876,0.018596,210.8215,0.5488
3.5,5.5,0,0.240191,4.16,bending,102.9826,0.029424,2109.9366,1.0
3.5,5.5,2,0.068775,14.54,bending,53.4366,0.015268,787.289,0.8869
3.5,5.5,5,0.034762,28.77,bending,35.9881,0.010282,298.8754,0.7408
3.5,5.5,8,0.067387,14.84,bending,48.5781,0.013879,235.0325,0.6188
3.5,5.5,10,0.144184,6.94,bending,70.0766,0.020022,223.2557,0.5488
3.5,6.0,0,0.319431,3.13,bending,118.923,0.033978,2452.4545,1.0
3.5,6.0,2,0.090117,11.1,bending,61.3384,0.017525,915.8468,0.8869
3.5,6.0,5,0.041804,23.92,bending,39.4917,0.011283,329.1035,0.7408
3.5,6.0,8,0.078464,12.74,bending,52.3224,0.014949,250.721,0.6188
3.5,6.0,10,0.167169,5.98,bending,75.2736,0.021507,236.8741,0.5488
3.5,6.5,0,0.417717,2.39,bending,136.1635,0.038904,2824.7566,1.0
3.5,6.5,2,0.116222,8.6,bending,69.8375,0.019954,1055.5837,0.8869
3.5,6.5,5,0.049904,20.04,bending,43.1945,0.012341,361.9603,0.7408
3.5,6.5,8,0.090828,11.01,bending,56.2281,0.016065,267.7737,0.6188
3.5,6.5,10,0.192691,5.19,bending,80.6788,0.023051,251.6767,0.5488
3.5,7.0,0,0.537989,1.86,bending,154.704,0.044201,3226.8428,1.0
3.5,7.0,2,0.14777,6.77,bending,78.9336,0.022552,1206.4995,0.8869
3.5,7.0,5,0.059166,16.9,bending,47.0967,0.013456,397.4455,0.7408
3.5,7.0,8,0.104574,9.56,bending,60.2953,0.017227,286.1906,0.6188
3.5,7.0,10,0.220921,4.53,bending,86.292,0.024655,267.6636,0.5488
3.5,7.5,0,0.683409,1.46,bending,174.5447,0.04987,3658.7132,1.0
3.5,7.5,2,0.185485,5.39,bending,88.6269,0.025322,1368.5942,0.8869
3.5,7.5,5,0.0697,14.35,bending,51.1983,0.014628,435.5593,0.7408
3.5,7.5,8,0.119799,8.35,bending,64.5239,0.018435,305.9717,0.6188
3.5,7.5,10,0.252034,3.97,bending,92.1134,0.026318,284.8346,0.5488
3.5,8.0,0,0.857354,1.17,bending,195.6854,0.05591,4120.3678,1.0
3.5,8.0,2,0.230139,4.35,bending,98.9174,0.028262,1541.8679,0.8869
3.5,8.0,5,0.08162,12.25,bending,55.4992,0.015857,476.3016,0.7408
3.5,8.0,8,0.136604,7.32,bending,68.9139,0.01969,327.1171,0.6188
3.5,8.0,10,0.286214,3.49,bending,98.143,0.028041,303.1899,0.5488
4.0,0.5,0,0.00833,120.04,bending,25.5209,0.00638,322.8867,1.0
4.0,0.5,2,0.001958,510.78,bending,12.1655,0.003041,116.5521,0.8869
4.0,0.5,5,0.00529,189.05,bending,20.0709,0.005018,141.1632,0.7408
4.0,0.5,8,0.01504,66.49,bending,33.741,0.008435,153.1795,0.6188
4.0,0.5,10,0.033009,30.29,bending,49.8181,0.012455,152.2031,0.5488
4.0,1.0,0,0.011949,83.69,bending,30.3245,0.007581,367.5629,1.0
4.0,1.0,2,0.003176,314.81,bending,15.2381,0.00381,133.3205,0.8869
4.0,1.0,5,0.006803,147.0,bending,22.3887,0.005597,145.106,0.7408
4.0,1.0,8,0.018682,53.53,bending,36.9718,0.009243,155.2258,0.6188
4.0,1.0,10,0.041002,24.39,bending,54.5353,0.013634,153.9794,0.5488
4.0,1.5,0,0.018281,54.7,bending,37.3461,0.009337,442.0233,1.0
4.0,1.5,2,0.005199,192.36,bending,19.3293,0.004832,161.2679,0.8869
4.0,1.5,5,0.008743,114.38,bending,25.0466,0.006262,151.6773,0.7408
4.0,1.5,8,0.023053,43.38,bending,40.478,0.010119,158.6364,0.6188
4.0,1.5,10,0.05052,19.79,bending,59.6077,0.014902,156.9399,0.5488
4.0,2.0,0,0.028541,35.04,bending,46.5855,0.011646,546.2679,1.0
4.0,2.0,2,0.008361,119.6,bending,24.4392,0.00611,200.3942,0.8869
4.0,2.0,5,0.011188,89.38,bending,28.0445,0.007011,160.8772,0.7408
4.0,2.0,8,0.028239,35.41,bending,44.2596,0.011065,163.4111,0.6188
4.0,2.0,10,0.061726,16.2,bending,65.0351,0.016259,161.0846,0.5488
4.0,2.5,0,0.044314,22.57,bending,58.0429,0.014511,680.2967,1.0
4.0,2.5,2,0.013079,76.46,bending,30.5678,0.007642,250.6995,0.8869
4.0,2.5,5,0.014225,70.3,bending,31.3825,0.007846,172.7056,0.7408
4.0,2.5,8,0.034334,29.13,bending,48.3166,0.012079,169.5501,0.6188
4.0,2.5,10,0.074794,13.37,bending,70.8175,0.017704,166.4136,0.5488
4.0,3.0,0,0.067553,14.8,bending,71.7182,0.01793,844.1096,1.0
4.0,3.0,2,0.019847,50.39,bending,37.7152,0.009429,312.1837,0.8869
4.0,3.0,5,0.017949,55.71,bending,35.0606,0.008765,187.1626,0.7408
4.0,3.0,8,0.041436,24.13,bending,52.649,0.013162,177.0533,0.6188
4.0,3.0,10,0.089909,11.12,bending,76.955,0.019239,172.9267,0.5488
4.0,3.5,0,0.10058,9.94,bending,87.6114,0.021903,1037.7067,1.0
4.0,3.5,2,0.029235,34.21,bending,45.8812,0.01147,384.8468,0.8869
4.0,3.5,5,0.022466,44.51,bending,39.0788,0.00977,204.2481,0.7408
4.0,3.5,8,0.049649,20.14,bending,57.2568,0.014314,185.9207,0.6188
4.0,3.5,10,0.107264,9.32,bending,83.4475,0.020862,180.6241,0.5488
4.0,4.0,0,0.146087,6.85,bending,105.7224,0.026431,1261.0879,1.0
4.0,4.0,2,0.041894,23.87,bending,55.066,0.013767,468.689,0.8869
4.0,4.0,5,0.027888,35.86,bending,43.437,0.010859,223.9621,0.7408
4.0,4.0,8,0.059082,16.93,bending,62.14,0.015535,196.1523,0.6188
4.0,4.0,10,0.127062,7.87,bending,90.295,0.022574,189.5057,0.5488
4.0,4.5,0,0.207136,4.83,bending,126.0514,0.031513,1514.2533,1.0
4.0,4.5,2,0.058551,17.08,bending,65.2695,0.016317,563.71,0.8869
4.0,4.5,5,0.034338,29.12,bending,48.1353,0.012034,246.3047,0.7408
4.0,4.5,8,0.069852,14.32,bending,67.2986,0.016825,207.7482,0.6188
4.0,4.5,10,0.149515,6.69,bending,97.4977,0.024374,199.5715,0.5488
4.0,5.0,0,0.287155,3.48,bending,148.5984,0.03715,1797.2029,1.0
4.0,5.0,2,0.080013,12.5,bending,76.4917,0.019123,669.91,0.8869
4.0,5.0,5,0.041945,23.84,bending,53.1736,0.013293,271.2757,0.7408
4.0,5.0,8,0.08208,12.18,bending,72.7326,0.018183,220.7082,0.6188
4.0,5.0,10,0.174846,5.72,bending,105.0553,0.026264,210.8215,0.5488
4.0,5.5,0,0.389945,2.56,bending,173.3632,0.043341,2109.9366,1.0
4.0,5.5,2,0.107163,9.33,bending,88.7325,0.022183,787.289,0.8869
4.0,5.5,5,0.05085,19.67,bending,58.5521,0.014638,298.8754,0.7408
4.0,5.5,8,0.095894,10.43,bending,78.4421,0.019611,235.0325,0.6188
4.0,5.5,10,0.203288,4.92,bending,112.9681,0.028242,223.2557,0.5488
4.0,6.0,0,0.519673,1.92,bending,200.3459,0.050086,2452.4545,1.0
4.0,6.0,2,0.140965,7.09,bending,101.9921,0.025498,915.8468,0.8869
4.0,6.0,5,0.061201,16.34,bending,64.2706,0.016068,329.1035,0.7408
4.0,6.0,8,0.111425,8.97,bending,84.4269,0.021107,250.721,0.6188
4.0,6.0,10,0.235082,4.25,bending,121.2358,0.030309,236.8741,0.5488
4.0,6.5,0,0.680878,1.47,bending,229.5465,0.057387,2824.7566,1.0
4.0,6.5,2,0.182458,5.48,bending,116.2704,0.029068,1055.5837,0.8869
4.0,6.5,5,0.073155,13.67,bending,70.3292,0.017582,361.9603,0.7408
4.0,6.5,8,0.128814,7.76,bending,90.6871,0.022672,267.7737,0.6188
4.0,6.5,10,0.270479,3.7,bending,129.8586,0.032465,251.6767,0.5488
4.0,7.0,0,0.878466,1.14,bending,260.9651,0.065241,3226.8428,1.0
4.0,7.0,2,0.232762,4.3,bending,131.5674,0.032892,1206.4995,0.8869
4.0,7.0,5,0.086878,11.51,bending,76.7278,0.019182,397.4455,0.7408
4.0,7.0,8,0.148205,6.75,bending,97.2227,0.024306,286.1906,0.6188
4.0,7.0,10,0.309741,3.23,bending,138.8365,0.034709,267.6636,0.5488
4.0,7.5,0,1.117713,0.89,bending,294.6015,0.07365,3658.7132,1.0
4.0,7.5,2,0.293073,3.41,bending,147.8832,0.036971,1368.5942,0.8869
4.0,7.5,5,0.102544,9.75,bending,83.4665,0.020867,435.5593,0.7408
4.0,7.5,8,0.169749,5.89,bending,104.0338,0.026008,305.9717,0.6188
4.0,7.5,10,0.353138,2.83,bending,148.1694,0.037042,284.8346,0.5488
4.0,8.0,0,1.404264,0.71,bending,330.4559,0.082614,4120.3678,1.0
4.0,8.0,2,0.364666,2.74,bending,165.2176,0.041304,1541.8679,0.8869
4.0,8.0,5,0.120336,8.31,bending,90.5453,0.022636,476.3016,0.7408
4.0,8.0,8,0.1936,5.17,bending,111.1202,0.02778,327.1171,0.6188
4.0,8.0,10,0.40095,2.49,bending,157.8574,0.039464,303.1899,0.5488
4.5,0.5,0,0.013003,76.91,bending,40.6168,0.009026,322.8867,1.0
4.5,0.5,2,0.002989,334.58,bending,19.2119,0.004269,116.5521,0.8869
4.5,0.5,5,0.008152,122.66,bending,31.828,0.007073,141.1632,0.7408
4.5,0.5,8,0.023182,43.14,bending,53.5452,0.011899,153.1795,0.6188
4.5,0.5,10,0.0508,19.68,bending,79.0542,0.017568,152.2031,0.5488
4.5,1.0,0,0.01843,54.26,bending,48.0483,0.010677,367.5629,1.0
4.5,1.0,2,0.004737,211.1,bending,23.8585,0.005302,133.3205,0.8869
4.5,1.0,5,0.010251,97.56,bending,35.2188,0.007826,145.106,0.7408
4.5,1.0,8,0.028159,35.51,bending,58.2185,0.012937,155.2258,0.6188
4.5,1.0,10,0.061669,16.22,bending,85.8652,0.019081,153.9794,0.5488
4.5,1.5,0,0.028015,35.69,bending,59.0326,0.013118,442.0233,1.0
4.5,1.5,2,0.007664,130.48,bending,30.1369,0.006697,161.2679,0.8869
4.5,1.5,5,0.012945,77.25,bending,39.1543,0.008701,151.6773,0.7408
4.5,1.5,8,0.034113,29.31,bending,63.333,0.014074,158.6364,0.6188
4.5,1.5,10,0.074553,13.41,bending,93.245,0.020721,156.9399,0.5488
4.5,2.0,0,0.043631,22.92,bending,73.5695,0.016349,546.2679,1.0
4.5,2.0,2,0.012277,81.46,bending,38.047,0.008455,200.3942,0.8869
4.5,2.0,5,0.016349,61.16,bending,43.6346,0.009697,160.8772,0.7408
4.5,2.0,8,0.041168,24.29,bending,68.8887,0.015309,163.4111,0.6188
4.5,2.0,10,0.089683,11.15,bending,101.1934,0.022487,161.0846,0.5488
4.5,2.5,0,0.067735,14.76,bending,91.6592,0.020369,680.2967,1.0
4.5,2.5,2,0.019205,52.07,bending,47.5889,0.010575,250.6995,0.8869
4.5,2.5,5,0.020589,48.57,bending,48.6595,0.010813,172.7056,0.7408
4.5,2.5,8,0.049454,20.22,bending,74.8855,0.016641,169.5501,0.6188
4.5,2.5,10,0.107307,9.32,bending,109.7106,0.02438,166.4136,0.5488
4.5,3.0,0,0.10337,9.67,bending,113.3015,0.025178,844.1096,1.0
4.5,3.0,2,0.029205,34.24,bending,58.7626,0.013058,312.1837,0.8869
4.5,3.0,5,0.025804,38.75,bending,54.2292,0.012051,187.1626,0.7408
4.5,3.0,8,0.059113,16.92,bending,81.3234,0.018072,177.0533,0.6188
4.5,3.0,10,0.127685,7.83,bending,118.7965,0.026399,172.9267,0.5488
